,refebibl-id,type-code,type-name,title,author,journal-name,pubi-year,volume,isseue,serno,page,pubilisher,doi,arti-id,degree,university,department,artiId,url,citation-day,site-name,registration-day,conference-name,modern_liter,grouped_title
12175,REF061845024,1,학술지(정기간행물),1990년대 문학지형과 여성문학 담론,서영인,대중서사연구,2018,24,2,,9-40,대중서사학회,http://dx.doi.org/10.18856/jpn.2018.24.2.001,ART002348574,,,,ART002839005,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12181,REF061845030,1,학술지(정기간행물),1990년대 젠더화된 문단에서 페미니즘하기-김정란과 허수경을 읽으며,조연정,구보학보,2021,,27,,271-304,구보학회,http://dx.doi.org/10.35153/gubokr.2021..27.008,ART002714515,,,,ART002839005,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12186,REF061845035,1,학술지(정기간행물),한국사회의 압축적 개인화와 젠더범주의 민주주의적 함의 - 1990년대를 중심으로,홍찬숙,여성과 역사,2012,,17,,1-25,한국여성사학회,http://dx.doi.org/10.22511/women..17.201212.1,ART001723965,,,,ART002839005,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12195,REF061845373,1,학술지(정기간행물),‘언표’로서의 내면－1990년대 문학사의 비판적 재구성을 위한예비적 고찰들－,강동호,한국학연구,2020,,56,,249-273,한국학연구소,http://dx.doi.org/10.23033/inhaks.2020..56.008,ART002566596,,,,ART002839003,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12206,REF061845384,1,학술지(정기간행물),‘문학주의’ 시대의 ‘포스트모더니즘’ —1990년대 비평이 ‘포스트모더니즘’과 접속하는 방식,조연정,대중서사연구,2018,24,4,,329-374,대중서사학회,http://dx.doi.org/10.18856/jpn.2018.24.4.011,ART002406161,,,,ART002839003,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12332,REF061770318,1,학술지(정기간행물),1990년대 문학지형과 여성문학 담론,서영인,대중서사연구,2018,24,2,,9-40,대중서사학회,http://dx.doi.org/10.18856/jpn.2018.24.2.001,ART002348574,,,,ART002839312,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12547,REF064365970,1,학술지(정기간행물),1990년대 포르노그래피 장르화를 둘러싼 페미니스트들의 정동과 그 의미,이소영,현대소설연구,2022,,87,,101-132,한국현대소설학회,,ART002883401,,,,ART002905339,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12555,REF064365978,1,학술지(정기간행물),"1990년대 페미니즘의 대중화, 그 직전의 풍경",허주영,민족문학사연구,2022,,78,,171-205,민족문학사연구소,,ART002839003,,,,ART002905339,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12770,REF064216915,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구 -,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART002921475,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12812,REF064216016,1,학술지(정기간행물),1990년대 연애소설 일고: 양귀자의 『천년의 사랑』을 중심으로,이은자,숙명어문논집,1998,1,,,217-240,숙명여자대학교,,,,,,ART002910010,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12822,REF064216026,1,학술지(정기간행물),"1990년대 페미니즘의 대중화, 그 직전의 풍경",허주영,민족문학사연구,2022,,78,,171-205,민족문학사연구소,,ART002839003,,,,ART002910010,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
